Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D8,BAT54S,SOT-23,32.0,38.25,180.0,top
D9,1N4007-A7,D_SOD-123,70.5,2.75,180.0,top
F1,1A 60V,Fuse_1206_3216Metric,13.25,50.5,180.0,top
IC1,TC4424AVOA,SOIC127P600X175-8N,52.0,31.75,90.0,top
IC2,MPXH6400AC6T1,MPXH6400AC6T1,51.25,57.25,-90.0,top
IC3,VNS3NV04DPTR-E,SOIC127P600X175-8N,99.5,27.75,0.0,top
J1,3-6437285-0,364372850,10.975,32.0,-90.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,101.11,38.375,90.0,top
J4,HM-10,PinSocket_1x06_P2.54mm_Vertical,86.48,61.75,90.0,top
JP1,ING-VLT,PinHeader_1x03_P2.54mm_Vertical,47.25,31.75,180.0,top
LED1,RED,LED_0805_2012Metric,24.75,29.22,90.0,top
LED2,RED,LED_0805_2012Metric,51.0,40.75,180.0,top
LED3,RED,LED_0805_2012Metric,24.75,22.25,-90.0,top
LED4,RED,LED_0805_2012Metric,54.0,41.25,-90.0,top
LED5,RED,LED_0805_2012Metric,10.5,61.75,-90.0,top
LED6,RED,LED_0805_2012Metric,8.0,61.75,-90.0,top
P1,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,101.5,50.98,180.0,top
Q1,BSP78HUMA1,SOT-223-3_TabPin2,34.0,29.25,180.0,top
Q2,BSP78HUMA1,SOT-223-3_TabPin2,34.0,22.25,180.0,top
Q3,BSP78HUMA1,SOT-223-3_TabPin2,69.65,9.25,-90.0,top
